LOOKUP KEY,PARENT,CODE,POSITION,MINIMUM,MAXIMUM,MANDATORY,PARENT ARRAY
COUNTRY,,India,,,,,
STATE,India,Andhra Pradesh,,,,,
STATE,India,Bihar,,,,,
STATE,India,Goa,,,,,
STATE,India,Gujarat,,,,,
STATE,India,Karnataka,,,,,
STATE,India,Kerala,,,,,
STATE,India,Madhya Pradesh,,,,,
STATE,India,Maharashtra,,,,,
STATE,India,Odisha,,,,,
STATE,India,Punjab,,,,,
STATE,India,Rajasthan,,,,,
STATE,India,Tamil Nadu,,,,,
STATE,India,Telangana,,,,,
STATE,India,Uttar Pradesh,,,,,
STATE,India,West Bengal,,,,,
STATE,India,Arunachal Pradesh,,,,,
STATE,India,Assam,,,,,
STATE,India,Chhattisgarh,,,,,
STATE,India,Haryana,,,,,
STATE,India,Himachal Pradesh,,,,,
STATE,India,Jharkhand,,,,,
STATE,India,Kerala,,,,,
STATE,India,Manipur,,,,,
STATE,India,Meghalaya,,,,,
STATE,India,Mizoram,,,,,
STATE,India,Nagaland,,,,,
STATE,India,Tripura,,,,,
STATE,India,Jammu and Kashmir,,,,,
STATE,India,Delhi,,,,,
STATE,India,Chandigarh,,,,,
CITY,Andhra Pradesh,Visakhapatnam,,,,,
CITY,Telangana,Hyderabad,,,,,
CITY,Telangana,Secunderabad,,,,,
CITY,Bihar,Udalguri,,,,,
CITY,Bihar,Araria,,,,,
CITY,Bihar,Arwal,,,,,
CITY,Bihar,Aurangabad,,,,,
CITY,Bihar,Banka,,,,,
CITY,Bihar,Begusarai,,,,,
CITY,Bihar,Bhagalpur,,,,,
CITY,Bihar,Bhojpur,,,,,
CITY,Bihar,Buxar,,,,,
CITY,Bihar,Darbhanga,,,,,
CITY,Bihar,East Champaran,,,,,
CITY,Bihar,Gaya,,,,,
CITY,Bihar,Gopalganj,,,,,
CITY,Bihar,Jamui,,,,,
CITY,Bihar,Jehanabad,,,,,
CITY,Bihar,Kaimur (Bhabua),,,,,
CITY,Bihar,Katihar,,,,,
CITY,Bihar,Khagaria,,,,,
CITY,Bihar,Kishanganj,,,,,
CITY,Bihar,Lakhisarai,,,,,
CITY,Bihar,Madhepura,,,,,
CITY,Bihar,Madhubani,,,,,
CITY,Bihar,Munger (Monghyr),,,,,
CITY,Bihar,Muzaffarpur,,,,,
CITY,Bihar,Nalanda,,,,,
CITY,Bihar,Nawada,,,,,
CITY,Bihar,Patna,,,,,
CITY,Bihar,Purnia (Purnea),,,,,
CITY,Bihar,Rohtas,,,,,
CITY,Bihar,Saharsa,,,,,
CITY,Bihar,Samastipur,,,,,
CITY,Bihar,Saran,,,,,
CITY,Bihar,Sheikhpura,,,,,
CITY,Bihar,Sheohar,,,,,
CITY,Bihar,Sitamarhi,,,,,
CITY,Bihar,Siwan,,,,,
CITY,Bihar,Supaul,,,,,
CITY,Bihar,Vaishali,,,,,
CITY,Delhi,New Delhi,,,,,
CITY,Bihar,West Champaran,,,,,
CITY,Goa,Panaji,,,,,
CITY,Goa,North Goa,,,,,
CITY,Goa,South Goa,,,,,
CITY,Goa,Porvorim,,,,,
CITY,Gujarat,Ahmedabad,,,,,
CITY,Gujarat,Amreli,,,,,
CITY,Gujarat,Anand,,,,,
CITY,Gujarat,Aravalli,,,,,
CITY,Gujarat,Banaskantha,,,,,
CITY,Gujarat,Bharuch,,,,,
CITY,Gujarat,Bhavnagar,,,,,
CITY,Gujarat,Botad,,,,,
CITY,Gujarat,Chhota Udepur,,,,,
CITY,Gujarat,Dahod,,,,,
CITY,Gujarat,Dangs,,,,,
CITY,Gujarat,Devbhoomi Dwarka,,,,,
CITY,Gujarat,Gandhinagar,,,,,
CITY,Gujarat,Gandhidham,,,,,
CITY,Gujarat,Vapi,,,,,
CITY,Gujarat,Gir Somnath,,,,,
CITY,Gujarat,Nandiad,,,,,
CITY,Gujarat,Jamnagar,,,,,
CITY,Gujarat,Junagadh,,,,,
CITY,Gujarat,Bhuj,,,,,
CITY,Gujarat,Kachchh,,,,,
CITY,Gujarat,Kheda,,,,,
CITY,Gujarat,Mahisagar,,,,,
CITY,Gujarat,Mehsana,,,,,
CITY,Gujarat,Morbi,,,,,
CITY,Gujarat,Narmada,,,,,
CITY,Gujarat,Navsari,,,,,
CITY,Gujarat,Panchmahal (Godhra),,,,,
CITY,Gujarat,Patan,,,,,
CITY,Gujarat,Porbandar,,,,,
CITY,Gujarat,Rajkot,,,,,
CITY,Gujarat,Sabarkantha (Himmatnagar),,,,,
CITY,Gujarat,Surat,,,,,
CITY,Gujarat,Surendranagar,,,,,
CITY,Gujarat,Tapi (Vyara),,,,,
CITY,Gujarat,Vadodara,,,,,
CITY,Gujarat,Valsad,,,,,
CITY,Punjab,Chandigarh,,,,,
CITY,Punjab,Amritsar,,,,,
CITY,Punjab,Barnala,,,,,
CITY,Punjab,Bathinda,,,,,
CITY,Punjab,Faridkot,,,,,
CITY,Punjab,Fatehgarh Sahib,,,,,
CITY,Punjab,Ferozepur,,,,,
CITY,Punjab,Gurdaspur,,,,,
CITY,Punjab,Hoshiarpur,,,,,
CITY,Punjab,Jalandhar,,,,,
CITY,Punjab,Kapurthala,,,,,
CITY,Punjab,Ludhiana,,,,,
CITY,Punjab,Mansa,,,,,
CITY,Punjab,Moga,,,,,
CITY,Punjab,Muktsar,,,,,
CITY,Punjab,Nawanshahr,,,,,
CITY,Punjab,Patiala,,,,,
CITY,Punjab,Rupnagar,,,,,
CITY,Punjab,Sangrur,,,,,
CITY,Punjab,SAS Nagar (Mohali),,,,,
CITY,Punjab,Mohali,,,,,
CITY,Punjab,Tarn Taran,,,,,
CITY,Karnataka,Bagalkot,,,,,
CITY,Karnataka,Bangalore,,,,,
CITY,Karnataka,Bengaluru,,,,,
CITY,Karnataka,Belgaum,,,,,
CITY,Karnataka,Bellary,,,,,
CITY,Karnataka,Bidar,,,,,
CITY,Karnataka,Bijapur,,,,,
CITY,Karnataka,Chamarajanagar,,,,,
CITY,Karnataka,Chickmagalur,,,,,
CITY,Karnataka,Chikballapur,,,,,
CITY,Karnataka,Chitradurga,,,,,
CITY,Karnataka,Dakshina Kannada,,,,,
CITY,Karnataka,Davangere,,,,,
CITY,Karnataka,Dharwad,,,,,
CITY,Karnataka,Gadag,,,,,
CITY,Karnataka,Gulbarga,,,,,
CITY,Karnataka,Hassan,,,,,
CITY,Karnataka,Haveri,,,,,
CITY,Karnataka,Kodagu,,,,,
CITY,Karnataka,Kolar,,,,,
CITY,Karnataka,Koppal,,,,,
CITY,Karnataka,Mandya,,,,,
CITY,Karnataka,Mysore,,,,,
CITY,Karnataka,Raichur,,,,,
CITY,Karnataka,Ramnagara,,,,,
CITY,Karnataka,Ramnagara,,,,,
CITY,Karnataka,Shimoga,,,,,
CITY,Karnataka,Tumkur,,,,,
CITY,Karnataka,Udupi,,,,,
CITY,Karnataka,Uttara Kannada (Karwar),,,,,
CITY,Karnataka,Yadgir,,,,,
CITY,Kerala,Alappuzha,,,,,
CITY,Kerala,Ernakulam,,,,,
CITY,Kerala,Idukki,,,,,
CITY,Kerala,Kannur,,,,,
CITY,Kerala,Kasaragod,,,,,
CITY,Kerala,Kollam,,,,,
CITY,Kerala,Kottayam,,,,,
CITY,Kerala,Kozhikode,,,,,
CITY,Kerala,Malappuram,,,,,
CITY,Kerala,Palakkad,,,,,
CITY,Kerala,Pathanamthitta,,,,,
CITY,Kerala,Thiruvananthapuram,,,,,
CITY,Kerala,Thrissur,,,,,
CITY,Kerala,Wayanad,,,,,
CITY,Madhya Pradesh,Alirajpur,,,,,
CITY,Madhya Pradesh,Ashoknagar,,,,,
CITY,Madhya Pradesh,Balaghat,,,,,
CITY,Madhya Pradesh,Barwani,,,,,
CITY,Madhya Pradesh,Betul,,,,,
CITY,Madhya Pradesh,Bhind,,,,,
CITY,Madhya Pradesh,Bhopal,,,,,
CITY,Madhya Pradesh,Burhanpur,,,,,
CITY,Madhya Pradesh,Chhatarpur,,,,,
CITY,Madhya Pradesh,Chhindwara,,,,,
CITY,Madhya Pradesh,Damoh,,,,,
CITY,Madhya Pradesh,Datia,,,,,
CITY,Madhya Pradesh,Dewas,,,,,
CITY,Madhya Pradesh,Dhar,,,,,
CITY,Madhya Pradesh,Dhar,,,,,
CITY,Madhya Pradesh,Dindori,,,,,
CITY,Madhya Pradesh,Guna,,,,,
CITY,Madhya Pradesh,Gwalior,,,,,
CITY,Madhya Pradesh,Harda,,,,,
CITY,Madhya Pradesh,Hoshangabad,,,,,
CITY,Madhya Pradesh,Indore,,,,,
CITY,Madhya Pradesh,Jabalpur,,,,,
CITY,Madhya Pradesh,Jhabua,,,,,
CITY,Madhya Pradesh,Katni,,,,,
CITY,Madhya Pradesh,Khandwa,,,,,
CITY,Madhya Pradesh,Khargone,,,,,
CITY,Madhya Pradesh,Mandla,,,,,
CITY,Madhya Pradesh,Mandsaur,,,,,
CITY,Madhya Pradesh,Morena,,,,,
CITY,Madhya Pradesh,Narsinghpur,,,,,
CITY,Madhya Pradesh,Neemuch,,,,,
CITY,Madhya Pradesh,Panna,,,,,
CITY,Madhya Pradesh,Raisen,,,,,
CITY,Madhya Pradesh,Rajgarh,,,,,
CITY,Madhya Pradesh,Ratlam,,,,,
CITY,Madhya Pradesh,Rewa,,,,,
CITY,Madhya Pradesh,Sagar,,,,,
CITY,Madhya Pradesh,Satna,,,,,
CITY,Madhya Pradesh,Sehore,,,,,
CITY,Madhya Pradesh,Seoni,,,,,
CITY,Madhya Pradesh,Shahdol,,,,,
CITY,Madhya Pradesh,Shajapur,,,,,
CITY,Madhya Pradesh,Shivpuri,,,,,
CITY,Madhya Pradesh,Sidhi,,,,,
CITY,Madhya Pradesh,Singrauli,,,,,
CITY,Madhya Pradesh,Tikamgarh,,,,,
CITY,Madhya Pradesh,Ujjain,,,,,
CITY,Madhya Pradesh,Umaria,,,,,
CITY,Madhya Pradesh,Vidisha,,,,,
CITY,Madhya Pradesh,Ahmednagar,,,,,
CITY,Madhya Pradesh,Akola,,,,,
CITY,Madhya Pradesh,Amravati,,,,,
CITY,Madhya Pradesh,Aurangabad,,,,,
CITY,Madhya Pradesh,Beed,,,,,
CITY,Madhya Pradesh,Buldhana,,,,,
CITY,Madhya Pradesh,Chandrapur,,,,,
CITY,Madhya Pradesh,Dhule,,,,,
CITY,Madhya Pradesh,Gadchiroli,,,,,
CITY,Madhya Pradesh,Gondia,,,,,
CITY,Madhya Pradesh,Hingoli,,,,,
CITY,Madhya Pradesh,Jalgaon,,,,,
CITY,Madhya Pradesh,Jalna,,,,,
CITY,Madhya Pradesh,Kolhapur,,,,,
CITY,Madhya Pradesh,Latur,,,,,
CITY,Madhya Pradesh,Mumbai Suburban,,,,,
CITY,Madhya Pradesh,Nagpur,,,,,
CITY,Madhya Pradesh,Nanded,,,,,
CITY,Madhya Pradesh,Nandurbar,,,,,
CITY,Madhya Pradesh,Nashik,,,,,
CITY,Madhya Pradesh,Osmanabad,,,,,
CITY,Madhya Pradesh,Parbhani,,,,,
CITY,Madhya Pradesh,Pune,,,,,
CITY,Madhya Pradesh,Raigad,,,,,
CITY,Madhya Pradesh,Ratnagiri,,,,,
CITY,Madhya Pradesh,Sangli,,,,,
CITY,Madhya Pradesh,Satara,,,,,
CITY,Madhya Pradesh,Sindhudurg,,,,,
CITY,Madhya Pradesh,Solapur,,,,,
CITY,Madhya Pradesh,Thane,,,,,
CITY,Madhya Pradesh,Wardha,,,,,
CITY,Madhya Pradesh,Washim,,,,,
CITY,Madhya Pradesh,Yavatmal,,,,,
CITY,Maharashtra,Mumbai,,,,,
CITY,Maharashtra,Ahmednagar,,,,,
CITY,Maharashtra,Akola,,,,,
CITY,Maharashtra,Amravati,,,,,
CITY,Maharashtra,Aurangabad,,,,,
CITY,Maharashtra,Beed,,,,,
CITY,Maharashtra,Bhandara,,,,,
CITY,Maharashtra,Buldhana,,,,,
CITY,Maharashtra,Chandrapur,,,,,
CITY,Maharashtra,Dhule,,,,,
CITY,Maharashtra,Gadchiroli,,,,,
CITY,Maharashtra,Gondia,,,,,
CITY,Maharashtra,Hingoli,,,,,
CITY,Maharashtra,Jalgaon,,,,,
CITY,Maharashtra,Jalna,,,,,
CITY,Maharashtra,Kolhapur,,,,,
CITY,Maharashtra,Latur,,,,,
CITY,Maharashtra,Mumbai Suburban,,,,,
CITY,Maharashtra,Nagpur,,,,,
CITY,Maharashtra,Nanded,,,,,
CITY,Maharashtra,Nandurbar,,,,,
CITY,Maharashtra,Nashik,,,,,
CITY,Maharashtra,Osmanabad,,,,,
CITY,Maharashtra,Parbhani,,,,,
CITY,Maharashtra,Pune,,,,,
CITY,Maharashtra,Raigad,,,,,
CITY,Maharashtra,Ratnagiri,,,,,
CITY,Maharashtra,Sangli,,,,,
CITY,Maharashtra,Satara,,,,,
CITY,Maharashtra,Sindhudurg,,,,,
CITY,Maharashtra,Solapur,,,,,
CITY,Maharashtra,Baramati,,,,,
CITY,Maharashtra,Thane,,,,,
CITY,Maharashtra,Washim,,,,,
CITY,Maharashtra,Yavatmal,,,,,
CITY,Maharashtra,Bhiwandi,,,,,
CITY,Orissa,Bhubaneshwar,,,,,
CITY,Orissa,Azimabad,,,,,
CITY,Orissa,Balasore Court,,,,,
CITY,Orissa,Balasore Ho,,,,,
CITY,Orissa,Balasore Rs,,,,,
CITY,Orissa,Fakirmohan College,,,,,
CITY,Orissa,Issannagar,,,,,
CITY,Orissa,Nayabazar Balasore,,,,,
CITY,Orissa,Reserve Police Line Edso,,,,,
CITY,Orissa,Sahadevkhunta,,,,,
CITY,Orissa,Sovarampur,,,,,
CITY,Orissa,Srikanthapur,,,,,
CITY,Orissa,Manikula,,,,,
CITY,Orissa,Panjibag,,,,,
CITY,Orissa,Puruna Balasore,,,,,
CITY,Orissa,Ranasahi,,,,,
CITY,Orissa,Sahada,,,,,
CITY,Orissa,Sunhat,,,,,
CITY,Orissa,Badasindhia,,,,,
CITY,Orissa,Barabati,,,,,
CITY,Orissa,Chasakhand,,,,,
CITY,Orissa,Dahapada,,,,,
CITY,Orissa,Fulwar-kaswa,,,,,
CITY,Orissa,Ghodapada,,,,,
CITY,Orissa,Haripur,,,,,
CITY,Orissa,Makalpur,,,,,
CITY,Orissa,Motiganj,,,,,
CITY,Orissa,Nijampur,,,,,
CITY,Orissa,Sahid Park,,,,,
CITY,Orissa,Sahupada,,,,,
CITY,Orissa,Sindhia,,,,,
CITY,Orissa,Khirachora Gopinath Edso,,,,,
CITY,Orissa,Armala,,,,,
CITY,Orissa,Badapal,,,,,
CITY,Orissa,Gobindpur,,,,,
CITY,Orissa,Gududapatna,,,,,
CITY,Orissa,Januganj,,,,,
CITY,Orissa,Kanrali,,,,,
CITY,Orissa,Kashimpur,,,,,
CITY,Orissa,Naraharipur,,,,,
CITY,Orissa,Remuna,,,,,
CITY,Orissa,Somnathpur,,,,,
CITY,Orissa,Udambar,,,,,
CITY,Orissa,Begunia,,,,,
CITY,Orissa,Bhounriabad,,,,,
CITY,Orissa,Dharaganj,,,,,
CITY,Orissa,Durgadevi,,,,,
CITY,Orissa,Kans,,,,,
CITY,Orissa,Machhua,,,,,
CITY,Orissa,Mahispata,,,,,
CITY,Orissa,Mitrapur,,,,,
CITY,Orissa,Narasingpur,,,,,
CITY,Orissa,Nimpal,,,,,
CITY,Orissa,Nuapadhi,,,,,
CITY,Orissa,Patna,,,,,
CITY,Orissa,Pundala,,,,,
CITY,Orissa,Rasaslpur,,,,,
CITY,Orissa,Sathilabalbalia,,,,,
CITY,Orissa,Singiri,,,,,
CITY,Orissa,Tikirapal,,,,,
CITY,Orissa,Bankeswar,,,,,
CITY,Rajasthan,Ajmer,,,,,
CITY,Rajasthan,Alwar,,,,,
CITY,Rajasthan,Banswara,,,,,
CITY,Rajasthan,Baran,,,,,
CITY,Rajasthan,Barmer,,,,,
CITY,Rajasthan,Bharatpur,,,,,
CITY,Rajasthan,Bhilwara,,,,,
CITY,Rajasthan,Bikaner,,,,,
CITY,Rajasthan,Bundi,,,,,
CITY,Rajasthan,Chittorgarh,,,,,
CITY,Rajasthan,Churu,,,,,
CITY,Rajasthan,Dausa,,,,,
CITY,Rajasthan,Dholpur,,,,,
CITY,Rajasthan,Dungarpur,,,,,
CITY,Rajasthan,Hanumangarh,,,,,
CITY,Rajasthan,Jaipur,,,,,
CITY,Rajasthan,Jaisalmer,,,,,
CITY,Rajasthan,Jalore,,,,,
CITY,Rajasthan,Jhalawar,,,,,
CITY,Rajasthan,Jhunjhunu,,,,,
CITY,Rajasthan,Jodhpur,,,,,
CITY,Rajasthan,Karauli,,,,,
CITY,Rajasthan,Kota,,,,,
CITY,Rajasthan,Nagaur,,,,,
CITY,Rajasthan,Pali,,,,,
CITY,Rajasthan,Pratapgarh,,,,,
CITY,Rajasthan,Sawai Madhopur,,,,,
CITY,Rajasthan,Sikar,,,,,
CITY,Rajasthan,Sirohi,,,,,
CITY,Rajasthan,Sri Ganganagar,,,,,
CITY,Rajasthan,Tonk,,,,,
CITY,Rajasthan,Udaipur,,,,,
CITY,Tamil Nadu,Ariyalur,,,,,
CITY,Tamil Nadu,Chennai,,,,,
CITY,Tamil Nadu,Cuddalore,,,,,
CITY,Tamil Nadu,Dharmapuri,,,,,
CITY,Tamil Nadu,Dindigul,,,,,
CITY,Tamil Nadu,Erode,,,,,
CITY,Tamil Nadu,Kanchipuram,,,,,
CITY,Tamil Nadu,Kanyakumari,,,,,
CITY,Tamil Nadu,Karur,,,,,
CITY,Tamil Nadu,Krishnagiri,,,,,
CITY,Tamil Nadu,Madurai,,,,,
CITY,Tamil Nadu,Nagapattinam,,,,,
CITY,Tamil Nadu,Namakkal,,,,,
CITY,Tamil Nadu,Nilgiris,,,,,
CITY,Tamil Nadu,Perambalur,,,,,
CITY,Tamil Nadu,Pudukkottai,,,,,
CITY,Tamil Nadu,Ramanathapuram,,,,,
CITY,Tamil Nadu,Salem,,,,,
CITY,Tamil Nadu,Sivaganga,,,,,
CITY,Tamil Nadu,Thanjavur,,,,,
CITY,Tamil Nadu,Theni,,,,,
CITY,Tamil Nadu,Thoothukudi (Tuticorin),,,,,
CITY,Tamil Nadu,Tiruchirappalli,,,,,
CITY,Tamil Nadu,Tirunelveli,,,,,
CITY,Tamil Nadu,Tiruppur,,,,,
CITY,Tamil Nadu,Tiruvallur,,,,,
CITY,Tamil Nadu,Tiruvannamalai,,,,,
CITY,Tamil Nadu,Tiruvarur,,,,,
CITY,Tamil Nadu,Vellore,,,,,
CITY,Tamil Nadu,Viluppuram,,,,,
CITY,Tamil Nadu,Virudhunagar,,,,,
CITY,Uttar Pradesh,Agra,,,,,
CITY,Uttar Pradesh,Aligarh,,,,,
CITY,Uttar Pradesh,Allahabad,,,,,
CITY,Uttar Pradesh,Ambedkar Nagar,,,,,
CITY,Uttar Pradesh,Amethi (Chatrapati Sahuji Mahraj Nagar),,,,,
CITY,Uttar Pradesh,Amroha (J.P. Nagar),,,,,
CITY,Uttar Pradesh,Auraiya,,,,,
CITY,Uttar Pradesh,Azamgarh,,,,,
CITY,Uttar Pradesh,Baghpat,,,,,
CITY,Uttar Pradesh,Bahraich,,,,,
CITY,Uttar Pradesh,Ballia,,,,,
CITY,Uttar Pradesh,Balrampur,,,,,
CITY,Uttar Pradesh,Banda,,,,,
CITY,Uttar Pradesh,Barabanki,,,,,
CITY,Uttar Pradesh,Bareilly,,,,,
CITY,Uttar Pradesh,Basti,,,,,
CITY,Uttar Pradesh,Bijnor,,,,,
CITY,Uttar Pradesh,Budaun,,,,,
CITY,Uttar Pradesh,Bulandshahr,,,,,
CITY,Uttar Pradesh,Chandauli,,,,,
CITY,Uttar Pradesh,Chitrakoot,,,,,
CITY,Uttar Pradesh,Deoria,,,,,
CITY,Uttar Pradesh,Etah,,,,,
CITY,Uttar Pradesh,Etawah,,,,,
CITY,Uttar Pradesh,Faizabad,,,,,
CITY,Uttar Pradesh,Farrukhabad,,,,,
CITY,Uttar Pradesh,Fatehpur,,,,,
CITY,Uttar Pradesh,Firozabad,,,,,
CITY,Uttar Pradesh,Gautam Buddha Nagar,,,,,
CITY,Uttar Pradesh,Ghaziabad,,,,,
CITY,Uttar Pradesh,Ghazipur,,,,,
CITY,Uttar Pradesh,Gonda,,,,,
CITY,Uttar Pradesh,Gorakhpur,,,,,
CITY,Uttar Pradesh,Hamirpur,,,,,
CITY,Uttar Pradesh,Hapur (Panchsheel Nagar),,,,,
CITY,Uttar Pradesh,Hardoi,,,,,
CITY,Uttar Pradesh,Hathras,,,,,
CITY,Uttar Pradesh,Jalaun,,,,,
CITY,Uttar Pradesh,Jaunpur,,,,,
CITY,Uttar Pradesh,Jhansi,,,,,
CITY,Uttar Pradesh,Kannauj,,,,,
CITY,Uttar Pradesh,Kannauj,,,,,
CITY,Uttar Pradesh,Kanpur Dehat,,,,,
CITY,Uttar Pradesh,Kanpur Nagar,,,,,
CITY,Uttar Pradesh,Kaushambi,,,,,
CITY,Uttar Pradesh,Kushinagar (Padrauna),,,,,
CITY,Uttar Pradesh,Lakhimpur - Kheri,,,,,
CITY,Uttar Pradesh,Lalitpur,,,,,
CITY,Uttar Pradesh,Lucknow,,,,,
CITY,Uttar Pradesh,Maharajganj,,,,,
CITY,Uttar Pradesh,Mahoba,,,,,
CITY,Uttar Pradesh,Mainpuri,,,,,
CITY,Uttar Pradesh,Mathura,,,,,
CITY,Uttar Pradesh,Mau,,,,,
CITY,Uttar Pradesh,Meerut,,,,,
CITY,Uttar Pradesh,Mirzapur,,,,,
CITY,Uttar Pradesh,Moradabad,,,,,
CITY,Uttar Pradesh,Muzaffarnagar,,,,,
CITY,Uttar Pradesh,Noida,,,,,
CITY,Uttar Pradesh,Pilibhit,,,,,
CITY,Uttar Pradesh,Pratapgarh,,,,,
CITY,Uttar Pradesh,RaeBareli,,,,,
CITY,Uttar Pradesh,Rampur,,,,,
CITY,Uttar Pradesh,Saharanpur,,,,,
CITY,Uttar Pradesh,Sambhal (Bhim Nagar),,,,,
CITY,Uttar Pradesh,Sant Kabir Nagar,,,,,
CITY,Uttar Pradesh,Sant Ravidas Nagar,,,,,
CITY,Uttar Pradesh,Shahjahanpur,,,,,
CITY,Uttar Pradesh,Shamali (Prabuddh Nagar),,,,,
CITY,Uttar Pradesh,Shravasti,,,,,
CITY,Uttar Pradesh,Siddharth Nagar,,,,,
CITY,Uttar Pradesh,Sitapur,,,,,
CITY,Uttar Pradesh,Sonbhadra,,,,,
CITY,Uttar Pradesh,Sultanpur,,,,,
