Invoice Number,Store ID,Store Name,Store Location,Warehouse ID,Warehouse Location,Parent GL Name,GL Name,Sub GL Name,Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Inventory ID,Item Type,Item Description,"MRP
",Cost Price,Selling Price,Model,Color,SKU,Blubirch SKU,Tag Number,Return Reason,RR Number,Quantity,Return Quantity,Serial Number,Warranty Status,Brand ID,Brand / Vendor,Customer ID,Customer Name,Invoice Date,"Warehouse
Inward Date","Shop
Return Date","Warehouse
ReInward Date",Warehouse Grading Date,Disposition,Packaging Status,Item Condition,Physical Status,Grade,Defect,Type of Defect,Approval Required,Ageing,Tentative New Grade,Actual New Grade,Pending Putaway Disposition
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00001,,Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator,24757,18757,21757,,White,Ref-7802,,t-34ab01,Quality Issue,R-62b58e,2,1,SN1110001,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,06/07/20,,,Repair,Open Box,Unused Returned,Minor Dent,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00002,,Samsung 244 L Frost Free Double Door 3 Star (2020) Refrigerator ,24079,18079,21079,,Black,Ref-7803,,"t-34ab02
t-34cd02",Quality Issue,R-62b58e,3,2,SN1110002,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,06/07/20,,,Repair,Brown Box Available,Used ,Minor Scratches,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00003,,Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator ,24347,18347,21347,,Metallic Gray,Ref-7804,,t-34ab03,Transit Damage,R-62b60a,5,1,SN1110003,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,07/07/20,,,Repair,Not Available,Mismatch,Minor Damage,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00004,,Samsung 192 L Direct Cool Single Door 2 Star (2020) Refrigerator,12426,6426,9426,,Metallic Maroon,Ref-7805,,t-34ab04,Transit Damage,R-62b60a,1,1,SN1110004,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,07/07/20,,,Repair,,Fake,Major Dent,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00005,,Samsung 272 L Frost Free Double Door 2 Star (2020) Refrigerator,20869,14869,17869,,Metallic Blue,Ref-7806,,"t-34ab05
t-34cd05",Customer Service Error,R-62b01a,2,2,SN1110005,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,06/07/20,,,Repair,,Complete damage,Major Scratches,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00006,,LG 260 L Frost Free Double Door 3 Star (2020) Refrigerator  ,30990,24990,27990,,White,Ref-6601,,t-34ab06,Product Packaging Issue,R-62b90e,4,1,SN1110006,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,07/07/20,09/07/20,Repair,,,Major Damage,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00007,,LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator,21990,15990,18990,,Black,Ref-6602,,t-34ab07,Warranty Material,R-62b97e,7,1,SN1110007,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,,,Repair,,,Like New,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00008,,LG 260 L Frost Free Double Door 3 Star (2020) Convertible Refrigerator,32700,26700,29700,,Metallic Gray,Ref-6603,,t-34ab08,DEMO Material,R-62b99e,3,1,SN1110008,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,07/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00009,,LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator ,17500,11500,14500,,Metallic Maroon,Ref-6604,,t-34ab09,Partial Service Support – Product,R-62b89e,4,1,SN1110009,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,05/07/20,05/07/20,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00010,,LG 270 L Direct Cool Single Door 3 Star (2020) Refrigerator,26190,20190,23190,,Metallic Blue,Ref-6605,,t-34ab10,Repair & Calibration,R-62b91e,12,1,SN1110010,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,30/06/20,02/07/20,02/07/20,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00011,,LG 45 L Direct Cool Single Door 1 Star (2019) Refrigerator,13690,7690,10690,,White,Ref-6606,,t-34ab11,Wrong Issue,R-62b96e,3,1,SN1110011,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,11/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00012,,IFB 6 kg 2D Wash Fully Automatic Front Load,27490,21490,24490,,Black,WM-0001,,"t-34ab12
t-34cd12",Product Packaging Issue,R-62b90e,5,2,SN1110012,1 Year,B-IFB-004,"IFB Industries Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,05/06/20,05/07/20,07/07/20,09/07/20,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00013,,IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White ,22390,16390,19390,,Metallic Gray,WM-0002,,t-34ab13,Quality Issue,R-62b58e,6,1,SN1110013,1 Year,B-IFB-004,"IFB Industries Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,05/06/20,06/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00014,,IFB 7 kg Fully Automatic Top Load Grey ,30000,24000,27000,,Metallic Maroon,WM-0003,,t-34ab14,Transit Damage,R-62b60a,8,1,SN1110014,1 Year,B-IFB-004,"IFB Industries Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,05/06/20,07/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00015,,IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,29390,23390,26390,,Metallic Blue,WM-0004,,t-34ab15,Customer Service Error,R-62b01a,6,1,SN1110015,1 Year,B-IFB-004,"IFB Industries Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,05/06/20,03/07/20,05/07/20,07/07/20,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00016,,IFB 6 kg Fully Automatic Front Load with In-built Heater White,24000,18000,21000,,White,WM-0005,,t-34ab16,Vendor Issue,R-62b98e,3,1,SN1110016,1 Year,B-IFB-004,"IFB Industries Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,05/06/20,02/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00017,,Samsung 6.2 kg with Monsoon Feature Fully Automatic Top Load Grey,19700,13700,16700,,Black,WM-1001,,t-34ab17,Warranty Material,R-62b97e,2,1,SN1110017,1 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,03/07/20,05/07/20,07/07/20,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00018,,Samsung 6 kg 5 star Inverter Fully Automatic Front Load ,30900,24900,27900,,Metallic Gray,WM-1002,,"t-34ab18
t-34cd18",Warranty Return-Modern Channel,R-62b61e,2,2,SN1110018,1 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,07/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00019,,LG 6.5 kg Inverter Fully Automatic Top Load Silver,21700,15700,18700,,Metallic Maroon,WM-2001,,"t-34ab19
t-34cd19
t-34ef19",Customer Service Error,R-62b01a,6,3,SN1110019,1 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,06/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Fully-Automatic Front Load Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,IN-00020,,LG 6 kg Inverter Fully Automatic Front Load with In-built Heater White ,30490,24490,27490,,Metallic Blue,WM-2002,,t-34ab20,Call back due to Customer Non acceptance,R-62b88e,8,1,SN1110020,1 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,04/07/20,05/07/20,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00021,,Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator,24757,18757,21757,,White,Ref-7802,,"t-34ab21
t-34cd21
t-34ef21",Quality Issue,R-62b92e,9,3,SN1110021,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT002,Amit Enterprises,20/06/20,20/06/20,22/06/20,26/06/20,27/06/20,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00022,,Samsung 244 L Frost Free Double Door 3 Star (2020) Refrigerator ,24079,18079,21079,,Black,Ref-7803,,"t-34ab22
t-34cd22",Quality Issue,R-62b92e,8,2,SN1110022,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT002,Amit Enterprises,20/06/20,20/06/20,23/06/20,26/06/20,27/06/20,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00023,,Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator ,24347,18347,21347,,Metallic Gray,Ref-7804,,t-34ab23,Quality Issue,R-62b92e,7,1,SN1110023,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT002,Amit Enterprises,20/06/20,20/06/20,24/06/20,26/06/20,27/06/20,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00024,,Samsung 192 L Direct Cool Single Door 2 Star (2020) Refrigerator,12426,6426,9426,,Metallic Maroon,Ref-7805,,t-34ab24,Transit Damage,R-62b93e,6,1,SN1110024,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT002,Amit Enterprises,20/06/20,20/06/20,25/06/20,26/06/20,27/06/20,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00025,,Samsung 272 L Frost Free Double Door 2 Star (2020) Refrigerator,20869,14869,17869,,Metallic Blue,Ref-7806,,"t-34ab25
t-34cd25",Transit Damage,R-62b93e,5,2,SN1110025,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT002,Amit Enterprises,20/06/20,20/06/20,25/06/20,26/06/20,27/06/20,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00026,,LG 260 L Frost Free Double Door 3 Star (2020) Refrigerator  ,30990,24990,27990,,White,Ref-6601,,"t-34ab26
t-34cd26
t-34ef26",Customer Service Error,R-62b62e,4,3,SN1110026,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT002,Amit Enterprises,20/06/20,15/06/20,21/06/20,,,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00027,,LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator,21990,15990,18990,,Black,Ref-6602,,t-34ab27,Product Packaging Issue,R-62b65e,3,1,SN1110027,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT002,Amit Enterprises,20/06/20,15/06/20,22/06/20,,,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00028,,LG 260 L Frost Free Double Door 3 Star (2020) Convertible Refrigerator,32700,26700,29700,,Metallic Gray,Ref-6603,,"t-34ab28
t-34cd28",Product Packaging Issue,R-62b65e,2,2,SN1110028,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT002,Amit Enterprises,20/06/20,15/06/20,22/06/20,,,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00029,,LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator ,17500,11500,14500,,Metallic Maroon,Ref-6604,,t-34ab29,Warranty Material,R-62b69e,1,1,SN1110029,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT002,Amit Enterprises,20/06/20,15/06/20,23/06/20,,,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00030,,LG 270 L Direct Cool Single Door 3 Star (2020) Refrigerator,26190,20190,23190,,Metallic Blue,Ref-6605,,t-34ab30,DEMO Material,R-62b63e,8,1,SN1110030,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT002,Amit Enterprises,20/06/20,15/06/20,21/06/20,,,Repair,,,,Defective,,,Yes,,,,
Inv002,st002,Croma Gandipet,"2/1 MG Road Gandipet, Hyderabad",WH002,"B-11, Green Blossoms, Gandipet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00031,,LG 45 L Direct Cool Single Door 1 Star (2019) Refrigerator,13690,7690,10690,,White,Ref-6606,,t-34ab31,DEMO Material,R-62b63e,7,1,SN1110031,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT002,Amit Enterprises,20/06/20,15/06/20,21/06/20,,,Repair,,,,Defective,,,Yes,,,,
